source_concept_id,source_concept_name,is_retired,type,Reference code system,Reference code,frequency
55820,"Wound, septic",1,Diagnosis,CIEL,109,3
992002,GROUP TB,0,State,,,3
5095,Regimen failure,0,Finding,CIEL,843,3
12734,Asthma,1,Diagnosis,SNOMED CT,371088008,3
12871,Streptomycin,1,Drug,,,3
51999,Total maternal to child transmission prophylaxis,0,Procedure,CIEL,1148,3
240,VDRL,0,Test,CIEL,299,3
665,"HIV DNA polymerase chain reaction, qualitative",0,Test,CIEL,1030,3
991996,GROUP 37,0,State,,,3
1136,Amoebiasis,0,Diagnosis,CIEL,124,3
4382,Hypertension,1,Diagnosis,SNOMED CT,38341003,3
991973,GROUP 5,0,State,,,3
991997,GROUP 28,0,State,,,3
991944,GROUP FOLLOWING 1,0,State,,,2
991990,GROUP 26,0,State,,,2
2274,Papular pruritic eruption associated with HIV infection,0,Diagnosis,CIEL,1249,2
11460,Date of confinement,0,Question,CIEL,5599,2
13363,Gastric ulcer,1,Diagnosis,SNOMED CT,59913009,2
51580,Child of HIV patient in clinic,0,Question,CIEL,1153,2
55104,Dyspepsia,0,Symptom/Finding,CIEL,111,2
991999,GROUP PEDI,0,State,,,2
781,Helminthiasis,0,Diagnosis,CIEL,199,2
4315,Cow milk,0,Misc,CIEL,968,2
10411,History of nevirapine to infant,0,Question,CIEL,6095,2
991984,GROUP 25,0,State,,,2
991992,GROUP 29,0,State,,,2
992000,GROUP PEDI 7,0,State,,,2
3305,Weight loss,0,Finding,CIEL,832,2
45139,WHO stage 4 peds,0,ConvSet,CIEL,1223,2
4287,"Respiratory tract infection, lower",0,Diagnosis,CIEL,998,2
4347,Dermatophytosis,1,Diagnosis,,,2
50197,Conjunctivitis,1,Diagnosis,SNOMED CT,241759005,2
51946,On antiretroviral therapy,0,Finding,CIEL,1149,2
658,"HIV enzyme immunoassay, qualitative",0,Test,CIEL,1042,2
5303,Hyperacidity,0,Finding,CIEL,837,2
34294,Lymphadenopathy,1,Finding,,,2
52123,Antiretroviral use during pregnancy,0,Question,CIEL,1147,2
13172,Anemia,1,Diagnosis,3BT,10005766,2
36162,Non-AMPATH,0,Misc,CIEL,1287,2
1184,Scabies,0,Diagnosis,CIEL,140,1
1756,Cellulitis,0,Diagnosis,CIEL,134,1
3362,Tuberculosis Treatment or DOT Program,0,Misc Order,CIEL,5487,1
4300,Weight change,0,Finding,CIEL,983,1
5514,Eczema,1,Diagnosis,SNOMED CT,24079001,1
13341,Sinusitis,1,Diagnosis,SNOMED CT,36971009,1
36246,AMPATH,0,Misc,CIEL,1286,1
37909,Moi teaching and referral hospital,0,Misc,CIEL,1274,1
991975,GROUP 35,0,State,,,1
1238,Pneumocystis carinii pneumonia,0,Diagnosis,CIEL,882,1
3365,Family planning services,0,Procedure,CIEL,5483,1
4305,Self,0,Misc,CIEL,978,1
4507,Genital sores,0,Finding,CIEL,864,1
17410,Allergy,1,Diagnosis,SNOMED CT,418925002,1
38074,Patient hospitalized location,0,Question,CIEL,1273,1
1493,HIV staging - salmonella septicemia,0,Diagnosis,CIEL,5354,1
2524,Verruca planus,0,Diagnosis,CIEL,1211,1
13380,Candidiasis,1,Diagnosis,SNOMED CT,78048006,1
22011,Vaginitis,1,Diagnosis,ICD-10-WHO,N76.0,1
41141,Completed total PMTCT,0,Finding,CIEL,1253,1
991952,GROUP PEDI 3,0,State,,,1
991961,GROUP PEDI 2,0,State,,,1
991977,GROUP 38,0,State,,,1
3338,Poor appetite,0,Symptom/Finding,CIEL,6031,1
11485,Immunizations up to date,0,Question,CIEL,5585,1
13384,Rheumatoid arthritis,1,Diagnosis,SNOMED CT,69896004,1
23593,Abscess,1,Diagnosis,SNOMED CT,128477000,1
991978,GROUP 34,0,State,,,1
1509,Failure to thrive,0,Diagnosis,CIEL,5050,1
3184,Bronchitis,0,Diagnosis,CIEL,147,1
3341,Abdominal swelling,0,Symptom/Finding,CIEL,6019,1
4289,"Conjunctivitis, allergic",0,Diagnosis,CIEL,995,1
5119,Folliculitis,1,Diagnosis,3BT,10033709,1
13386,Appendicitis,1,Diagnosis,3BT,10007993,1
32835,Dental caries,1,Diagnosis,SNOMED CT,80967001,1
991979,GROUP 31,0,State,,,1
992007,GROUP PRISON,0,State,,,1
3344,Paresthesia,0,Symptom,CIEL,6004,1
4298,Reason feeding method changed,0,Question,CIEL,986,1
10360,Measles,1,Diagnosis,3BT,10058369,1
10988,"Mass, other",0,Finding,CIEL,582,1
5333,Herpes zoster,1,Diagnosis,SNOMED CT,4740000,1
11032,Tuberculosis,1,Diagnosis,3BT,10100229,1
12016,HIV staging - minor mucocutaneous manifestations,0,Finding,CIEL,5330,1
47298,Allergic dermatitis,0,Diagnosis,CIEL,120,1
